,placename,placeaddress,placephone,placeinfo,placeintro,openhour,placeimg
74,밸런스랩운동센터,서울 마포구 새창로 30 백상빌딩3층 밸런스랩운동센터,0507-1437-9609,"주차, 예약, 무선 인터넷, 지역화폐(모바일형), 제로페이",,"월요일 11:00 - 22:00 공휴일,일요일휴무","""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210405_106%2F16175942338755FpoO_JPEG%2F9T3pfQKc1rB6uptulaeqMOa3.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210405_218%2F1617594150638LetY4_JPEG%2FRJYoTKpm5FUv35EV620lArnV.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210405_131%2F161759427860421Vd3_JPEG%2FL6qe66O_lqqCnEYKKZwxXXFo.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210405_146%2F161759422389101LvV_JPEG%2FXzN1int4YxOALgodYbGSoi0_.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210405_45%2F1617594362487UYSGP_JPEG%2Fy7tMAl5nJ3LNn98ZZiPJQM29.jpg"""
75,우리무브먼트 스튜디오,서울 마포구 연남로 9,0507-1406-0696,"단체석, 방문접수/출장, 예약, 무선 인터넷, 반려동물 동반, 지역화폐(지류형), 지역화폐(카드형), 지역화폐(모바일형), 제로페이","연남공원 옆길에 위치한 안나필라테스 기구전문 스튜디오 입니다.4:1그룹에서 4가지 대기구를 다 사용하여 퀄리티가 높은 수업을 진행하며,1:1개인레슨공간을 좀더 프라이빗하게 하여 편안한 운동이 가능합니다.언제든지 예약 및 상담이 가능합니다.",평일 09:00 - 22:00 점심시간: 13:00~14:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190101_97%2F1546348707615uC3AQ_PNG%2Fw1XQBTNITdfOeGDgrXw1Ctm2.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F%2F20160629_285%2F1467197275914r8BYC_JPEG%2Fimage.jpeg"""
76,퍼스트 필라테스 아카데미,서울 마포구 신촌로4길 11 2층,0507-1430-0616,"단체석, 주차, 방문접수/출장, 예약, 무선 인터넷","[퍼스트 필라테스&PT 과정] One Day Class : 39,000원. One Day Group Class : 29,000원. 아카데미 PT : 상담 후 안내 방문 PT : 상담 후 안내체형교정, 통증/재활, 근력 향상, 다이어트 등 모든 목적으로 다양하게 운동할 수 있습니다!필라테스, 교정/재활 각 분야의 오랜 경력과 검증된 전문 강사님들과 함께하고 있으며, 1:1개인 레슨 같은 경우 원하시는 목적에 맞게 강사님 배정을 도와드리고 있습니다^^- 신규 Open 이벤트&최신 시설- 운동과 자격을 동시에 취득~!- 10년 이상 경력의 베타랑 전임강사 제도- 공신력 있는 필라테스 협회 인증 지도자 강사 자격 과정 운영- 필라테스 협회 강사 자격 등록까지- 취업 연계 및 창업지원 교육[퍼스트 정규 교육과정] 필라테스 강사 양성 소도구&매트 필라테스 Lv 1~3 재활 필라테스 Lv 1~3 퍼스널트레이닝(PT)[마스터 과정] 레더바렐/리포머/캐딜락/스프링보드/체어 필라테스 국제 디플로마[창업] 필라테스 창업 교육언제든 편하게 문의 주세요.무료상담 가능합니다^^",매일 00:00 - 24:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210806_25%2F1628243098093hINxP_JPEG%2FVF-Xou_EiIBIENm3Ocd-1oyE.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210806_224%2F1628243101420G7rlT_JPEG%2FT-uAk0H3hawXYxJxsHiF5w_8.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210806_41%2F1628243103092C5BFX_JPEG%2FUCShz1THMRUxrnR5kYfegmuG.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210806_158%2F1628243101828B7w77_JPEG%2FdrkUTpTvgnRu00M3XbvaIYdA.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210806_144%2F1628243099944h58lb_JPEG%2FNIFQbrC-U1IfBCau7MdMOKOI.jpg"""
77,신촌필라테스 자연,서울 마포구 신촌로 150,0507-1417-8845,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금","필라테스스튜디오 자연은 서울시 마포구 2호선 이대역과 신촌역 사이 대흥동주민센터 근방에 주차가 편리한 곳에 위치해 있습니다.전문 필라테스 선생님들의 꼼꼼하고 친절한 기구필라테스 수업을 1:1 개인레슨, 2:1 듀엣레슨, 6:1 그룹레슨으로 강습 받을실 수 있으며 척추측만/골반틀어짐/일자목/거북목/오십견/어깨통증 등의 몸의 불편한 점이나 하체비만/다이어트/체형교정의 미용 목적으로의 운동으로 도움을 받을 수 있습니다.오랜 경력의 필라테스 강사님들의 최고의 수업으로 달라지는 몸을 느끼실 수 있음을 자신합니다.",평일 09:00 - 23:00 달력빨간색날짜휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171011_197%2F1507702021803IDhBN_JPEG%2FzclZMNnMCKafsByHKCwtf2kC.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171011_89%2F1507702037924cgXXx_JPEG%2FtpuGugZV_1jlCo-d4KJQHtFb.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171011_273%2F1507702043728lwU3g_JPEG%2FdJ7ynQibFKwktpnRCFmgcjhX.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171011_119%2F150770205254717m8X_JPEG%2FHdVBHbxAUW2lj4WgWoZZrX-r.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171011_281%2F1507702060463Il0lP_JPEG%2FZdzMDbWG0EP5NQImlSFuPC_C.jpg"""
78,2351필라테스,서울 마포구 월드컵북로 207,0507-1473-4557,"예약, 무선 인터넷",,매일 09:00 - 23:00 공휴일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210408_55%2F1617862482798alsyo_JPEG%2FOJ_y62smwfLjV735kqduNHMU.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210408_144%2F1617862482883Kpxhx_PNG%2FYAUjgRX-THKJrJWDnKe4aBrw.PNG.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210408_118%2F1617862482989xFRpq_PNG%2FCF4T8ZzU-3kHSDfBnaK-vh7v.PNG.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210408_72%2F1617862482938Vh3TJ_JPEG%2F3mv5h68x1sFhL5HVIDsVnqeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210408_259%2F1617863047479YAW1E_JPEG%2FCti8wti5wgGypi9PH6fZ9MGN.jpg"""
79,더블에이짐 공덕점,서울 마포구 마포대로 183-28,0507-1449-5901,"주차, 예약, 무선 인터넷, 국민지원금",,주말 08:00 - 16:00 일요일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151229_29%2F1451381663755TyeCq_JPEG%2F167179586442514_13.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200205_39%2F1580905484082L1d69_JPEG%2FJ-40LmMb_fJPRQitQO7BV_QX.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200205_264%2F1580905492600LWs8p_JPEG%2F38p7VTEgtUOr2wYMg3G4CDZN.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151229_175%2F1451381662847fii8a_JPEG%2F167179586442514_2.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151229_185%2F14513816629025p7bb_JPEG%2F167179586442514_3.jpeg"""
80,제스티필라테스,서울 마포구 월드컵로 80,02-333-7352,"주차, 무선 인터넷, 남/녀 화장실 구분, 제로페이, 국민지원금","제스티필라테스는 16년 이상의 전통 있는 여성전용 필라테스 스튜디오입니다.100평 이상의 쾌적한 스튜디오로 다수의 재등록 회원들이 수년간 이용중에 있습니다.다양한 매트수업(발레, 짐볼, 보수, 폼롤러, 소도구, TRX, 스텝박스, 요가 등)과 수업시간대가 편성되어 있습니다.","평일 09:00 - 22:30 주말, 공휴일 휴무","""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200602_79%2F1591089078903h8xfL_JPEG%2FQJFRFdtOQX4jzeHxISEfXLIi.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201015_53%2F1602727825000ySzBU_JPEG%2FKakaoTalk_20201015_110448104.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200716_5%2F1594875331114B6XaV_JPEG%2Fgpf1ZKBna81kzQOB5kZKXbii.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200602_190%2F1591089079578RqbSI_JPEG%2FhaaOuwEyEy-g3T6rc9aYt5wq.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200602_5%2F1591089078880McnpP_JPEG%2F8l_FA4YSgbvxZ5xSrWId0iih.jpg"""
81,코어필라테스협회,서울 마포구 월드컵북로1길 14 웅일빌딩 2층,0507-1340-5881,"주차, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분",,주말 10:00 - 22:00,"l(""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fvideo-phinf.pstatic.net%2F20200116_21%2F15791461007133AEup_JPEG%2F19f69af7-3812-11ea-9d93-28b4484d5a8e_03.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191228_244%2F15775384386514ESNw_JPEG%2FUohUa_iHcZ3es9Xa5HmJRrLh.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190717_92%2F1563368642649NBclq_JPEG%2F%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25BB%25E7%25C1%25F8%25BE%25E7%25BD%25C4_%25281%2529.002.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190717_255%2F1563368642634CWSlf_JPEG%2F%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25BB%25E7%25C1%25F8%25BE%25E7%25BD%25C4_%25281%2529.003.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190717_190%2F1563368642667a8hfK_JPEG%2F%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25BB%25E7%25C1%25F8%25BE%25E7%25BD%25C4_%25281%2529.004.jpeg"""
82,필라테스라이트,서울 마포구 서강로 105,0507-1421-5303,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설, 국민지원금","BE THE LIGHT, PILATESLIGHT신촌헬스, 홍대헬스, 광흥창헬스, 서강대헬스 필라테스라이트와 짐라이트는'보다 더 밝게, 보다 더 가볍게' 라는 모토의 휘트니스 센터 입니다 *필라테스라이트 가입시 짐라이트 무료 이용 가능*1. 무료 피티담당 트레이너 제도로 등록시 매월 2회씩 무료 PT 를 성심성의껏 진행 해 드립니다.2. 호텔식 피트니스 센터 세련되고 깔끔한 인테리어로 운동 시 쾌적한 환경에서 운동 하실 수 있으며 지상에 위치한 휘트니스센터로 화려하고 개방감 좋은 어반시팉뷰 유산소존을 자랑합니다.3. 국내 최상의 기구 최고의 브랜드 기구를 사용하여 운동시 보다 더 안전하며 운동시 보다 더 좋은 효과를 누릴 수 있습니다.",평일 06:00 - 00:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210903_162%2F16306490035776hH7F_JPEG%2FoajfQNBgGi5eD_3AcB1GMPDd.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210903_27%2F1630649005956FJj3y_JPEG%2FQ0ZjIVD-hNHTDLPLLGzDZzFc.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210903_287%2F1630649004794OOgbq_JPEG%2FEcVhEsgmGt8KHNqpjDizRVsb.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210714_224%2F1626237662278DKNcW_JPEG%2FZy4DhSGJAlpJoR1ku42l8y5D.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210714_49%2F16262376542913uJJ9_JPEG%2FWdHYYIJUV2tZmEaifQJknwwq.jpg"""
83,신디무브스튜디오,서울 마포구 동교로 282 3층,0507-1309-3272,"예약, 국민지원금",,월요일 09:00 - 22:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_209%2F1616682982641fK3Jq_JPEG%2FOqPUeJZUsOvIcFRmrNGCMAe8.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_96%2F16166829963126C1U2_JPEG%2FNpiYTMFCpdkYmZi9kt706Wqd.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_233%2F1616683001606UQC0d_JPEG%2F8JL7Y-mz2oEH1dF0XVS3yC7K.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_134%2F1616683035499FofbI_JPEG%2FZFODqpPiptXJOJf8AxMIp0rZ.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_218%2F16166830649404OXTP_JPEG%2Fj6JmXxiVG5ZOR1FfgQXN9v5u.jpeg.jpg"""
84,국제필라테스지도자전문협회 필라랩,서울 마포구 마포대로 143,010-4941-8642,"주차, 예약, 무선 인터넷, 유아시설(놀이방), 남/녀 화장실 구분","국제 필라테스 지도자 교육 전문 협회는 ""Pilates Laboratory""필라테스 연구소의 준말로 한국 정부 주관부서 검열을 거쳐 필라테스 민간 자격증 발급단체로 정식 인가 받았습니다. 무분별한 필라테스 자격증 남발로 인해 제대로 교육되지 않는 대규모의 교육방식을 탈피하고자 Pila Lab만의 체계적이고 전문적인 교육내용으로 재구성 하였습니다.교육생의 눈높이에 맞추어 누구나 쉽고 빠르게 자격증을 취득할 수 있게 세부적인 교육내용으로 진행됩니다. 실제 현장에서 전문성이 강조되는 필라테스를 불필요한 거품을 빼고 꼭 필라테스 지도자가 알아야 할 필수적인 필라테스 메카니즘과 노하우를 전수합니다.. 높은 퀄리티의 필라테스 지도자로 양성하고 물리치료사부터 체육,무용,비전공자까지 모두 100%취업률을 자랑하고 있습니다. 교육 커리큘럼을 방문상담을 통해 직접 눈으로 확인하세요!",매일 08:00 - 22:30,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170712_172%2F149983890611897556_PNG%2F186656603734547_1.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201009_119%2F16022453592252JuuU_JPEG%2FZ6lKBiEeXqBwIotfFtAiqLoG.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201009_208%2F1602245365872jYo0r_JPEG%2FRjy5RWK7Oi-1uHAlsWs6fcHi.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201009_96%2F1602245350196nXNrY_JPEG%2FNbdc3b_u9zBPSz94fppcd1Q9.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201009_32%2F160224499308805Ogv_JPEG%2F_-EsSr9HWlsTelxhjIp2cAz4.JPG.jpg"""
85,헤이필라테스,서울 마포구 와우산로35길 55,0507-1396-5600,"예약, 무선 인터넷",,평일 07:00 - 22:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190405_77%2F1554432515878ePA2g_JPEG%2F_8m5T5Cz6SOqgtDh462i4Ksh.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190405_260%2F1554432628469Bhiw2_JPEG%2F00s0O8AwuZZhTFXw3X57Qh_3.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190405_44%2F1554432564364cd3Ae_JPEG%2F3o5jqEbRLBhylAZXQZ2Btork.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181214_269%2F15447633995441eUM4_JPEG%2Fsf197WXz5x4fcEG0hinqm2WB.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181214_168%2F1544763371052PsVbf_JPEG%2FK3jxfga-RNvauSZeFYAGHhD-.jpg"""
86,에이발레핏,서울 마포구 양화로21길 39,0507-1316-8826,"무선 인터넷, 국민지원금","<직장인. 성인 대상 발레핏 수업>공식 블로그 www.abfit.co.kr· 발레핏은? 발레의 기본동작에 필라테스 호흡을 더한 운동으로 자세교정 체형교정에 효과적인 운동입니다.· 수업대상?뻣뻣하고 유연하지 못해 고민인 성인여성우아하고 건강한 취미를 찾는 성인여성자세교정이 필요한 성인여성· 수업시간?총 70분 수업으로 수업에 따라 매트운동, 소도구운동, 발레바운동, 센터운동으로 구성되어 있습니다.<Class.A 스튜디오 대관>나만의 클래스 오픈을 생각하던 분들을 위한 Class.A 공간대관 서비스를 하고 있습니다..- 원데이클래스 - 취미,재능강좌- 무용, 연기 입시레슨 공간- 정규수업(연기, 무용, 보컬 등) 운영공간- 공연연습 공간.",,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181017_264%2F1539756467413N2vIX_JPEG%2FIMG_3167."", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181017_205%2F1539756465362KgVDn_JPEG%2FIMG_3239."", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181017_235%2F1539756465381pEgOf_JPEG%2FIMG_3243."", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181017_51%2F1539756467366HKfN6_JPEG%2FIMG_3244."", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181017_3%2F15397564653821bnVS_JPEG%2FIMG_3251."""
87,필라테스반듯,서울 마포구 염리동 9-337 마포프레스티지 상가 A동 302호,0507-1433-7892,,,평일 08:00 - 11:00,
88,옌필라테스 대흥점,서울 마포구 백범로16길 16,0507-1486-3418,"예약, 무선 인터넷, 남/녀 화장실 구분, 제로페이",,일요일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210513_247%2F1620910625061IXbl2_JPEG%2F8VhsVqJIBWv_zYWc-0MLTKER.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210513_164%2F1620910673762srN6o_JPEG%2FxUMZjal_pl9we0XdNREESqXC.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210513_51%2F1620910725543qrVNv_JPEG%2FYwFbmVThTpnOUjKXCd2Lz-sY.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210513_78%2F1620910647915kxsQE_JPEG%2F5iFUvSwGz6DQa60abTSa1mYn.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210513_149%2F1620910702860UEdnv_JPEG%2FkVgmyyApoLg9h886gJZgMhZO.jpg"""
89,애니핏 필라테스 앤 자이로토닉,서울 마포구 백범로 74,0507-1372-6636,"무선 인터넷, 국민지원금",,일요일 13:00 - 16:00,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170104_197%2F1483460002242IlsHN_PNG%2F186054414341552_0.png"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210401_128%2F1617259028223Lf6wo_JPEG%2FBSvYEUiCo0lZ1rI-jWsVGYRU.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210401_217%2F1617259032974UHvOj_JPEG%2FMJeErzzNo9HeM2pZaVAw7JCK.jpeg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210401_42%2F1617259036897Y9eA8_JPEG%2FkjFMkIn7SDJHu0Jv4augbAPG.jpeg.jpg"""
90,예움필라테스&자이로토닉,서울 마포구 마포대로11길 21 3F,0507-1312-0134,"주차, 예약, 무선 인터넷, 반려동물 동반, 제로페이, 국민지원금",,주말 09:00 - 03:00 공휴일 휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210727_140%2F1627378198400oXqa3_JPEG%2FOqjn3ndz35GvnleRDxZy6mt9.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210727_163%2F1627378214833BlUnN_JPEG%2FSHK4DDDOcmDdekL2iN2bfA02.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210727_284%2F1627378203780M6A0y_JPEG%2FFpAzM-3bmEZSrgHVlZ9C5wEZ.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210727_228%2F1627378207271BL0O5_JPEG%2FkmtsQu5BK_ARe-rOd-qGhibv.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210727_140%2F1627378211498uJPwd_JPEG%2FtRNmzBw6kaPKjmKz2DQF0j33.jpg"""
91,리즐리필라테스,서울 마포구 독막로15길 3-13 3층,0507-1433-8990,"예약, 무선 인터넷, 반려동물 동반, 제로페이, 국민지원금",,주말 09:00 - 15:00 일요일휴무,"""https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201112_208%2F1605170872134DrflG_JPEG%2FKakaoTalk_20201112_174703470.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201112_169%2F1605170872130lE2GX_JPEG%2FKakaoTalk_20201112_174703470_01.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201210_202%2F1607586123537abBRj_JPEG%2F6wXhqP5_FpWj_CGlU9ex1QZf.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201210_248%2F16075861337577YKcK_JPEG%2FGR_ziZPvOF4l_8twJhT-pieb.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201210_134%2F1607586144250wHBAR_JPEG%2FiT0D7UFEajpxhC3ejuaKuqFL.jpg"""
